iter	MultiClass
0	0.9324951447
1	0.8087788278
2	0.711989527
3	0.6340059801
4	0.5699146838
5	0.5165231688
6	0.4713131966
7	0.432793347
8	0.3997224651
9	0.3711544703
10	0.3465008302
11	0.325003997
12	0.3062001797
13	0.2896427649
14	0.2751478988
15	0.262662111
16	0.2513860157
17	0.2414244732
18	0.2326375052
19	0.2248665793
