iter	Passed	Remaining
0	349	6646
1	680	6125
2	922	5226
3	1161	4647
4	1396	4189
5	1690	3944
6	1969	3657
7	2239	3359
8	2495	3050
9	2763	2763
10	3010	2463
11	3264	2176
12	3522	1896
13	3763	1612
14	4004	1334
15	4237	1059
16	4482	791
17	4743	527
18	4990	262
19	5248	0
