open,high,low,close,volume,datetime
1173.0,1178.0,1135.2,1144.2,1201311,2024-10-25
1137.0,1137.0,1094.2,1102.8,1258979,2024-10-28
1104.8,1129.0,1085.6,1126.4,1166309,2024-10-29
1131.4,1142.0,1102.4,1107.0,752357,2024-10-30
1107.0,1120.8,1078.0,1085.6,1070002,2024-10-31
1085.6,1103.4,1076.4,1103.2,904473,2024-11-01
1101.4,1118.0,1101.4,1113.0,238673,2024-11-02
1113.4,1133.6,1104.0,1127.8,577589,2024-11-05
1146.8,1168.6,1143.0,1158.6,1151101,2024-11-06
1160.8,1185.2,1141.0,1174.0,794101,2024-11-07
1177.4,1210.0,1170.2,1209.8,1237485,2024-11-08
1226.0,1274.0,1215.0,1272.4,1651767,2024-11-11
1269.6,1269.6,1220.2,1228.0,1260921,2024-11-12
1225.6,1243.6,1209.8,1211.0,863249,2024-11-13
1209.0,1229.6,1190.2,1202.0,547228,2024-11-14
1202.8,1237.8,1193.0,1235.0,809448,2024-11-15
1199.4,1224.2,1195.0,1199.8,766700,2024-11-18
1201.4,1203.2,1146.2,1152.2,845451,2024-11-19
1154.8,1168.8,1111.8,1120.0,911391,2024-11-20
1122.2,1129.0,1085.0,1117.8,1370955,2024-11-21
1122.0,1138.0,1106.8,1130.4,850289,2024-11-22
1131.4,1137.0,1094.0,1101.4,712663,2024-11-25
1103.0,1119.0,1051.4,1072.0,1330504,2024-11-26
1071.4,1103.6,1050.0,1096.8,1712024,2024-11-27
1100.0,1127.6,1081.2,1095.8,1339296,2024-11-28
1098.0,1131.4,1088.4,1123.2,945888,2024-11-29
1132.0,1148.2,1128.0,1142.8,794101,2024-12-02
1143.0,1145.4,1092.4,1100.0,827510,2024-12-03
1097.8,1109.2,1054.8,1058.0,1500780,2024-12-04
1058.2,1088.8,1040.4,1081.6,1300202,2024-12-05
1084.0,1107.0,1076.4,1097.4,987334,2024-12-06
1100.8,1128.6,1100.8,1125.8,827986,2024-12-09
1127.0,1128.4,1090.4,1098.8,1053168,2024-12-10
1098.0,1106.8,1083.0,1103.2,709997,2024-12-11
1103.0,1114.8,1081.0,1083.0,524024,2024-12-12
1083.4,1097.2,1076.0,1091.2,500866,2024-12-13
1088.2,1090.2,1050.6,1054.4,950501,2024-12-16
1012.0,1025.0,1005.4,1016.4,810136,2024-12-17
1018.2,1054.2,1015.0,1033.8,849639,2024-12-18
1035.2,1059.8,1026.0,1043.6,1332058,2024-12-19
1041.8,1206.8,1035.8,1163.0,2575800,2024-12-20
1170.4,1218.8,1130.0,1148.2,2305837,2024-12-23
1151.6,1197.6,1127.8,1135.8,1875882,2024-12-24
1128.0,1165.0,1118.4,1161.8,1712015,2024-12-25
1161.4,1192.6,1148.0,1174.4,1351448,2024-12-26
1174.2,1191.8,1169.4,1186.2,739929,2024-12-27
1189.0,1239.6,1184.4,1232.2,1513242,2024-12-28
1241.4,1337.4,1235.0,1337.4,1806824,2024-12-30
1330.0,1337.0,1279.0,1288.6,1098539,2025-01-03
1279.8,1297.4,1267.0,1296.6,504268,2025-01-06
1297.0,1297.6,1280.4,1283.0,423413,2025-01-08
1283.0,1287.6,1227.2,1228.0,1078875,2025-01-09
1232.4,1293.2,1230.0,1292.2,1315319,2025-01-10
1295.0,1319.6,1268.2,1277.4,1100582,2025-01-13
1274.0,1286.0,1262.8,1281.6,630948,2025-01-14
1284.0,1284.0,1245.0,1282.6,996993,2025-01-15
1285.6,1303.6,1272.2,1285.0,950453,2025-01-16
1287.6,1333.6,1271.4,1326.8,1542520,2025-01-17
1342.4,1365.8,1285.4,1295.4,2351950,2025-01-20
1297.8,1303.0,1263.4,1290.0,912346,2025-01-21
1290.4,1294.4,1250.0,1252.0,1172267,2025-01-22
1249.8,1259.0,1221.0,1258.6,1542403,2025-01-23
1259.4,1266.4,1237.6,1243.4,896009,2025-01-24
1243.4,1256.0,1222.2,1225.4,983962,2025-01-27
1225.4,1260.8,1203.2,1259.2,1043801,2025-01-28
